"zip","county_id","share_of_zip_in_county"
"80002","08059",0.96
"80002","08001",0.04
"80003","08059",0.83
"80003","08001",0.17
"80004","08059",1.00
"80005","08059",1.00
"80007","08059",1.00
"80010","08001",0.50
"80010","08005",0.50
"80011","08005",0.61
"80011","08001",0.39
"80012","08005",1.00
"80013","08005",1.00
"80014","08005",0.87
"80014","08031",0.13
"80015","08005",1.00
"80016","08005",1.00
"80017","08005",1.00
"80018","08005",1.00
"80019","08001",1.00
"80020","08014",0.82
"80020","08059",0.16
"80020","08013",0.02
"80021","08059",0.85
"80021","08014",0.15
"80022","08001",1.00
"80023","08014",0.74
"80023","08001",0.26
"80024","08001",1.00
"80025","08013",1.00
"80026","08013",1.00
"80027","08013",1.00
"80030","08001",1.00
"80031","08001",0.92
"80031","08059",0.08
"80033","08059",1.00
"80045","08001",1.00
"80101","08039",1.00
"80102","08001",0.49
"80102","08005",0.42
"80102","08039",0.09
"80103","08005",0.75
"80103","08001",0.25
"80104","08035",1.00
"80105","08005",0.42
"80105","08001",0.36
"80105","08039",0.22
"80106","08041",0.77
"80106","08039",0.21
"80106","08035",0.02
"80107","08039",1.00
"80108","08035",1.00
"80109","08035",1.00
"80110","08005",0.96
"80110","08031",0.04
"80111","08005",0.99
"80111","08031",0.01
"80112","08005",0.87
"80112","08035",0.13
"80113","08005",1.00
"80116","08035",1.00
"80117","08039",1.00
"80118","08035",1.00
"80120","08005",1.00
"80121","08005",1.00
"80122","08005",1.00
"80123","08059",0.49
"80123","08031",0.27
"80123","08005",0.24
"80124","08035",1.00
"80125","08035",1.00
"80126","08035",1.00
"80127","08059",1.00
"80128","08059",0.94
"80128","08005",0.06
"80129","08035",1.00
"80130","08035",1.00
"80131","08035",1.00
"80132","08041",1.00
"80133","08041",0.96
"80133","08035",0.04
"80134","08035",1.00
"80135","08035",0.99
"80135","08059",0.01
"80136","08001",0.64
"80136","08005",0.36
"80137","08005",0.65
"80137","08001",0.35
"80138","08035",0.89
"80138","08039",0.11
"80202","08031",1.00
"80203","08031",1.00
"80204","08031",1.00
"80205","08031",1.00
"80206","08031",1.00
"80207","08031",1.00
"80209","08031",1.00
"80210","08031",1.00
"80211","08031",1.00
"80212","08031",0.80
"80212","08059",0.17
"80212","08001",0.03
"80214","08059",0.99
"80214","08031",0.01
"80215","08059",1.00
"80216","08031",0.95
"80216","08001",0.05
"80218","08031",1.00
"80219","08031",1.00
"80220","08031",1.00
"80221","08001",0.85
"80221","08031",0.15
"80222","08031",0.88
"80222","08005",0.12
"80223","08031",1.00
"80224","08031",0.98
"80224","08005",0.02
"80226","08059",0.99
"80226","08031",0.01
"80227","08059",0.68
"80227","08031",0.32
"80228","08059",1.00
"80229","08001",1.00
"80230","08031",1.00
"80231","08031",0.56
"80231","08005",0.44
"80232","08059",0.99
"80232","08031",0.01
"80233","08001",1.00
"80234","08001",0.96
"80234","08014",0.04
"80235","08059",0.54
"80235","08031",0.46
"80236","08031",0.95
"80236","08005",0.05
"80237","08031",1.00
"80238","08031",1.00
"80239","08031",1.00
"80241","08001",1.00
"80246","08031",0.64
"80246","08005",0.36
"80247","08031",0.53
"80247","08005",0.47
"80249","08031",1.00
"80260","08001",1.00
"80264","08031",1.00
"80290","08031",1.00
"80293","08031",1.00
"80294","08031",1.00
"80301","08013",1.00
"80302","08013",1.00
"80303","08013",1.00
"80304","08013",1.00
"80305","08013",1.00
"80310","08013",1.00
"80401","08059",1.00
"80403","08059",0.94
"80403","08013",0.03
"80403","08047",0.03
"80419","08059",1.00
"80420","08093",1.00
"80421","08093",1.00
"80422","08047",0.95
"80422","08013",0.05
"80423","08037",0.91
"80423","08049",0.09
"80424","08117",1.00
"80425","08059",1.00
"80426","08037",0.71
"80426","08107",0.29
"80427","08047",0.99
"80427","08019",0.01
"80428","08107",1.00
"80432","08093",1.00
"80433","08059",1.00
"80434","08057",1.00
"80435","08117",1.00
"80436","08019",1.00
"80438","08019",1.00
"80439","08059",0.87
"80439","08019",0.13
"80440","08093",1.00
"80442","08049",1.00
"80443","08117",1.00
"80444","08019",1.00
"80446","08049",1.00
"80447","08049",1.00
"80448","08093",1.00
"80449","08093",1.00
"80451","08049",1.00
"80452","08019",1.00
"80453","08059",1.00
"80454","08059",1.00
"80455","08013",1.00
"80456","08093",1.00
"80457","08059",1.00
"80459","08049",1.00
"80461","08065",1.00
"80463","08107",0.76
"80463","08037",0.24
"80465","08059",1.00
"80466","08013",1.00
"80467","08107",1.00
"80468","08049",1.00
"80469","08107",1.00
"80470","08059",0.72
"80470","08093",0.28
"80471","08013",0.97
"80471","08047",0.03
"80473","08057",1.00
"80475","08093",1.00
"80476","08019",1.00
"80477","08107",1.00
"80478","08049",1.00
"80479","08107",1.00
"80480","08057",1.00
"80481","08013",1.00
"80482","08049",1.00
"80483","08107",1.00
"80487","08107",1.00
"80497","08117",1.00
"80498","08117",1.00
"80501","08013",1.00
"80503","08013",1.00
"80504","08013",0.55
"80504","08123",0.45
"80510","08013",1.00
"80511","08069",1.00
"80512","08069",1.00
"80513","08069",0.88
"80513","08123",0.12
"80514","08123",1.00
"80515","08069",1.00
"80516","08123",0.69
"80516","08013",0.29
"80516","08014",0.02
"80517","08069",1.00
"80520","08123",1.00
"80521","08069",1.00
"80524","08069",0.97
"80524","08123",0.03
"80525","08069",1.00
"80526","08069",1.00
"80528","08069",1.00
"80530","08123",1.00
"80532","08069",1.00
"80534","08123",0.88
"80534","08069",0.12
"80535","08069",1.00
"80536","08069",1.00
"80537","08069",1.00
"80538","08069",1.00
"80540","08013",0.70
"80540","08069",0.30
"80542","08123",1.00
"80543","08123",1.00
"80544","08013",1.00
"80545","08069",1.00
"80546","08123",1.00
"80547","08069",1.00
"80549","08069",1.00
"80550","08123",0.92
"80550","08069",0.08
"80601","08001",1.00
"80602","08001",1.00
"80603","08001",0.50
"80603","08123",0.50
"80610","08123",1.00
"80611","08123",1.00
"80612","08069",0.51
"80612","08123",0.49
"80615","08123",1.00
"80620","08123",1.00
"80621","08123",1.00
"80622","08123",1.00
"80623","08123",1.00
"80624","08123",1.00
"80631","08123",1.00
"80634","08123",1.00
"80640","08001",1.00
"80642","08123",0.88
"80642","08001",0.12
"80643","08123",0.82
"80643","08001",0.18
"80644","08123",1.00
"80645","08123",1.00
"80648","08123",1.00
"80649","08123",0.64
"80649","08087",0.36
"80650","08123",1.00
"80651","08123",1.00
"80652","08123",1.00
"80653","08087",1.00
"80654","08087",0.93
"80654","08001",0.04
"80654","08123",0.03
"80701","08087",0.96
"80701","08001",0.04
"80705","08087",1.00
"80720","08121",1.00
"80721","08095",1.00
"80722","08075",1.00
"80723","08087",1.00
"80726","08075",1.00
"80727","08125",1.00
"80728","08075",1.00
"80729","08123",1.00
"80731","08095",0.73
"80731","08075",0.22
"80731","08125",0.04
"80731","08115",0.01
"80733","08087",0.93
"80733","08121",0.07
"80734","08095",0.95
"80734","08125",0.05
"80735","08125",1.00
"80736","08075",1.00
"80737","08115",1.00
"80740","08121",1.00
"80741","08075",0.90
"80741","08087",0.09
"80741","08121",0.01
"80742","08123",1.00
"80743","08121",1.00
"80744","08115",1.00
"80745","08075",1.00
"80746","08095",1.00
"80747","08075",1.00
"80749","08115",1.00
"80750","08087",1.00
"80751","08075",1.00
"80754","08123",1.00
"80755","08125",1.00
"80757","08121",1.00
"80758","08125",1.00
"80759","08125",0.98
"80759","08121",0.02
"80801","08121",1.00
"80802","08017",1.00
"80804","08073",1.00
"80805","08063",1.00
"80807","08063",0.99
"80807","08125",0.01
"80808","08041",0.96
"80808","08039",0.04
"80809","08041",1.00
"80810","08017",1.00
"80812","08121",1.00
"80813","08119",1.00
"80814","08119",1.00
"80815","08063",0.89
"80815","08121",0.11
"80816","08119",0.95
"80816","08093",0.05
"80817","08041",1.00
"80818","08073",0.98
"80818","08121",0.02
"80819","08041",0.99
"80819","08119",0.01
"80820","08093",1.00
"80821","08073",0.97
"80821","08017",0.03
"80822","08125",1.00
"80823","08073",1.00
"80824","08125",1.00
"80825","08017",1.00
"80827","08093",0.71
"80827","08119",0.29
"80828","08073",0.89
"80828","08039",0.11
"80829","08041",1.00
"80830","08039",1.00
"80831","08041",1.00
"80832","08041",0.60
"80832","08039",0.39
"80833","08041",0.79
"80833","08073",0.17
"80833","08039",0.04
"80834","08063",1.00
"80835","08039",1.00
"80836","08063",1.00
"80840","08041",1.00
"80860","08119",1.00
"80861","08063",1.00
"80862","08017",1.00
"80863","08119",1.00
"80864","08041",1.00
"80902","08041",1.00
"80903","08041",1.00
"80904","08041",1.00
"80905","08041",1.00
"80906","08041",1.00
"80907","08041",1.00
"80908","08041",1.00
"80909","08041",1.00
"80910","08041",1.00
"80911","08041",1.00
"80913","08041",1.00
"80914","08041",1.00
"80915","08041",1.00
"80916","08041",1.00
"80917","08041",1.00
"80918","08041",1.00
"80919","08041",1.00
"80920","08041",1.00
"80921","08041",1.00
"80922","08041",1.00
"80923","08041",1.00
"80924","08041",1.00
"80925","08041",1.00
"80926","08041",0.93
"80926","08043",0.07
"80927","08041",1.00
"80928","08041",1.00
"80929","08041",1.00
"80930","08041",1.00
"80938","08041",1.00
"80939","08041",1.00
"80951","08041",1.00
"81001","08101",1.00
"81003","08101",1.00
"81004","08101",1.00
"81005","08101",1.00
"81006","08101",1.00
"81007","08101",1.00
"81008","08101",0.96
"81008","08041",0.04
"81019","08101",1.00
"81020","08071",1.00
"81021","08061",1.00
"81022","08101",1.00
"81023","08101",1.00
"81024","08071",1.00
"81025","08101",1.00
"81027","08071",1.00
"81029","08009",1.00
"81030","08089",1.00
"81033","08025",1.00
"81036","08061",1.00
"81039","08089",0.83
"81039","08101",0.14
"81039","08025",0.03
"81040","08055",1.00
"81041","08099",1.00
"81043","08099",1.00
"81044","08011",1.00
"81045","08061",1.00
"81047","08099",1.00
"81049","08071",1.00
"81050","08089",0.99
"81050","08011",0.01
"81052","08099",0.99
"81052","08011",0.01
"81054","08011",0.99
"81054","08009",0.01
"81055","08055",1.00
"81057","08011",1.00
"81058","08025",0.86
"81058","08089",0.14
"81059","08071",0.79
"81059","08089",0.21
"81062","08025",1.00
"81063","08025",0.97
"81063","08073",0.03
"81064","08009",0.91
"81064","08071",0.09
"81067","08089",1.00
"81069","08101",0.85
"81069","08027",0.08
"81069","08055",0.06
"81071","08061",1.00
"81073","08009",1.00
"81076","08025",1.00
"81077","08089",1.00
"81081","08071",0.98
"81081","35007",0.02
"81082","08071",1.00
"81084","08009",0.91
"81084","08099",0.09
"81087","08009",1.00
"81089","08055",1.00
"81090","08009",1.00
"81091","08071",1.00
"81092","08099",0.95
"81092","08011",0.05
"81101","08003",0.99
"81101","08021",0.01
"81120","08021",1.00
"81121","08007",0.99
"81121","08067",0.01
"81122","08067",0.94
"81122","08007",0.06
"81123","08023",1.00
"81124","08021",1.00
"81125","08109",0.82
"81125","08105",0.17
"81125","08003",0.01
"81126","08023",1.00
"81128","08007",1.00
"81129","08021",1.00
"81130","08079",0.85
"81130","08053",0.15
"81131","08109",1.00
"81132","08105",0.84
"81132","08109",0.16
"81133","08023",1.00
"81136","08003",0.88
"81136","08109",0.12
"81137","08067",0.97
"81137","35045",0.03
"81138","08023",1.00
"81140","08021",1.00
"81141","08021",1.00
"81143","08109",1.00
"81144","08105",0.98
"81144","08003",0.02
"81146","08003",1.00
"81147","08007",0.97
"81147","08053",0.03
"81148","08021",1.00
"81149","08109",1.00
"81151","08021",0.93
"81151","08023",0.07
"81152","08023",1.00
"81154","08105",0.95
"81154","08079",0.05
"81155","08109",1.00
"81201","08015",0.95
"81201","08043",0.05
"81210","08051",1.00
"81211","08015",1.00
"81212","08043",1.00
"81220","08085",0.80
"81220","08051",0.20
"81221","08043",1.00
"81222","08043",1.00
"81223","08043",1.00
"81224","08051",1.00
"81225","08051",1.00
"81226","08043",1.00
"81227","08015",1.00
"81230","08051",0.95
"81230","08109",0.05
"81231","08051",1.00
"81232","08043",1.00
"81233","08043",1.00
"81235","08053",1.00
"81236","08015",1.00
"81237","08051",1.00
"81239","08051",1.00
"81240","08043",1.00
"81241","08051",1.00
"81242","08015",1.00
"81243","08051",1.00
"81244","08043",1.00
"81248","08051",0.78
"81248","08109",0.22
"81251","08065",1.00
"81252","08027",1.00
"81253","08043",0.80
"81253","08027",0.20
"81301","08067",1.00
"81303","08067",1.00
"81320","08033",0.99
"81320","08083",0.01
"81321","08083",1.00
"81323","08083",0.91
"81323","08033",0.09
"81324","08033",0.91
"81324","49037",0.09
"81325","08113",0.74
"81325","08033",0.26
"81326","08067",1.00
"81327","08083",1.00
"81328","08083",0.74
"81328","08067",0.26
"81330","08083",1.00
"81331","08083",1.00
"81332","08033",1.00
"81334","08083",1.00
"81335","08083",1.00
"81401","08085",1.00
"81403","08085",0.89
"81403","08091",0.11
"81410","08029",1.00
"81411","08085",1.00
"81413","08029",1.00
"81415","08085",0.60
"81415","08029",0.40
"81416","08029",0.99
"81416","08085",0.01
"81418","08029",1.00
"81419","08029",1.00
"81422","08085",1.00
"81423","08113",0.87
"81423","08085",0.13
"81424","08085",1.00
"81425","08085",1.00
"81426","08113",1.00
"81427","08091",1.00
"81428","08029",1.00
"81429","08085",1.00
"81430","08113",1.00
"81431","08113",0.79
"81431","08085",0.21
"81432","08091",1.00
"81433","08111",1.00
"81434","08051",0.82
"81434","08029",0.18
"81435","08113",1.00
"81501","08077",1.00
"81503","08077",1.00
"81504","08077",1.00
"81505","08077",1.00
"81506","08077",1.00
"81507","08077",1.00
"81520","08077",1.00
"81521","08077",1.00
"81522","08077",1.00
"81523","08077",1.00
"81524","08077",1.00
"81525","08077",1.00
"81526","08077",1.00
"81527","08077",1.00
"81601","08045",1.00
"81610","08081",1.00
"81611","08097",1.00
"81612","08097",1.00
"81615","08097",1.00
"81620","08037",1.00
"81621","08037",0.67
"81621","08097",0.33
"81623","08045",0.68
"81623","08037",0.24
"81623","08097",0.07
"81623","08051",0.01
"81624","08077",1.00
"81625","08081",0.99
"81625","08107",0.01
"81630","08045",0.58
"81630","08077",0.42
"81631","08037",1.00
"81632","08037",1.00
"81633","08081",1.00
"81635","08045",1.00
"81637","08037",0.92
"81637","08045",0.08
"81638","08081",1.00
"81639","08107",1.00
"81640","08081",1.00
"81641","08103",0.98
"81641","08081",0.02
"81642","08097",1.00
"81643","08077",1.00
"81645","08037",1.00
"81646","08077",1.00
"81647","08045",1.00
"81648","08103",1.00
"81649","08037",1.00
"81650","08045",0.98
"81650","08103",0.02
"81652","08045",1.00
"81653","08107",0.81
"81653","08081",0.19
"81654","08097",1.00
"81655","08037",1.00
"81656","08097",1.00
"81657","08037",1.00
"82063","08069",0.68
"82063","56001",0.32
